T1,T2,T3,W1,W2,W3,TCOMI,TCOMO,POUT,PIN,CONIN,CONOUT,OUTCONO,EVPOUT,WULIAOT,ZKD,ZL,YSJDL,PZFKD,ZKBDL,EVPINT,Time_Stamp
22.04720306,22.72990417,23.46686172,54.12333679,53.43159485,53.68478394,22.89999962,22.79999924,4.720137596,4.699991226,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102342.3125,7.310876846,-0.003390903,0.0,0.003390903,23.0,2026-05-17 15:36:23
22.02459335,22.72990417,23.44877625,54.12786102,53.48132706,53.65765762,22.89999962,22.79999924,4.717424393,4.700696468,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102086.625,7.536937714,-0.002034542,0.0,0.001356361,23.0,2026-05-17 15:36:24
22.033638,22.74798965,23.42616653,54.13690186,53.48584747,53.72547531,22.89999962,22.79999924,4.718781471,4.700696468,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102256.9453,7.536937714,-0.003390903,0.0,0.001356361,23.0,2026-05-17 15:36:25
22.033638,22.72990417,23.50302887,54.16402817,53.47680283,53.72095108,22.89999962,22.79999924,4.718781471,4.701048851,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102342.3125,7.310876846,-0.004747265,0.0,0.002712723,23.0,2026-05-17 15:36:26
22.02007294,22.73442459,23.48042297,54.11881638,53.45420074,53.68478394,22.89999962,22.79999924,4.717424393,4.701048851,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102171.8438,8.215118408,-0.003390903,0.0,0.000678181,23.0,2026-05-17 15:36:27
22.03815842,22.72537994,23.46686172,54.13690186,53.42707062,53.72547531,22.89999962,22.79999924,4.717424393,4.702106953,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102512.7656,7.536937714,-0.003390903,0.0,0.002712723,23.0,2026-05-17 15:36:28
22.0562439,22.72990417,23.47138214,54.09621048,53.44515991,53.7028656,22.89999962,22.79999924,4.717424393,4.699991226,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102086.625,7.310876846,-0.004747265,0.0,0.003390903,23.0,2026-05-17 15:36:29
22.02911377,22.72085953,23.46686172,54.09621048,53.44967651,53.68930054,22.89999962,22.79999924,4.714712143,4.700343609,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102171.8438,7.310876846,-0.004747265,0.0,0.001356361,23.0,2026-05-17 15:36:30
22.02007294,22.72990417,23.46686172,54.10977554,53.45872116,53.6802597,22.89999962,22.79999924,4.713355541,4.701048851,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102171.8438,7.762998581,-0.003390903,0.0,0.001356361,23.0,2026-05-17 15:36:31
22.04268265,22.72085953,23.48946381,54.12786102,53.48132706,53.71642685,22.79999924,22.79999924,4.718781471,4.699638367,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102086.625,7.310876846,-0.003390903,0.0,0.002034542,23.0,2026-05-17 15:36:32
22.03815842,22.75703049,23.42616653,54.15498734,53.48584747,53.72547531,22.89999962,22.79999924,4.717424393,4.701048851,25.20000076,23.0,22.70000076,22.89999962,23.89999962,101916.875,7.536937714,-0.004069084,0.0,0.002712723,23.0,2026-05-17 15:36:33
22.02007294,22.72537994,23.5120697,54.09169006,53.48132706,53.72547531,22.79999924,22.79999924,4.718781471,4.700343609,25.20000076,23.0,22.70000076,22.89999962,23.89999962,101916.875,7.310876846,-0.002034542,0.0,0.000678181,23.0,2026-05-17 15:36:34
22.02007294,22.73442459,23.47138214,54.10073471,53.44967651,53.68930054,22.79999924,22.79999924,4.721493721,4.700696468,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102256.9453,7.989057541,-0.002034542,0.0,0.002034542,23.0,2026-05-17 15:36:35
22.033638,22.73442459,23.46233749,54.13237762,53.45420074,53.69834137,22.79999924,22.79999924,4.713355541,4.701401711,25.20000076,23.0,22.70000076,22.89999962,23.89999962,101916.875,7.310876846,-0.004069084,0.0,0.0,23.0,2026-05-17 15:36:36
22.02007294,22.72990417,23.49850845,54.1685524,53.43159485,53.71642685,22.79999924,22.79999924,4.718781471,4.700343609,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102001.9531,7.310876846,-0.002712723,0.0,0.0,23.0,2026-05-17 15:36:37
22.02007294,22.72085953,23.47590256,54.08716965,53.46776199,53.65765762,22.79999924,22.79999924,4.717424393,4.700343609,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102256.9453,7.989057541,-0.002712723,0.0,0.0,23.0,2026-05-17 15:36:38
22.02911377,22.73442459,23.49398804,54.13237762,53.42707062,53.71191025,22.89999962,22.79999924,4.717424393,4.699991226,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102171.8438,7.536937714,-0.002034542,0.0,0.002034542,23.0,2026-05-17 15:36:39
22.02911377,22.72990417,23.47138214,54.12786102,53.44515991,53.72547531,22.79999924,22.79999924,4.717424393,4.699991226,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102086.625,7.536937714,-0.004747265,0.0,0.002712723,23.0,2026-05-17 15:36:40
21.99294662,22.7118187,23.47590256,54.10073471,53.44967651,53.68930054,22.79999924,22.79999924,4.711999416,4.700343609,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102086.625,7.310876846,-0.002712723,0.0,0.002034542,23.0,2026-05-17 15:36:41
21.98842621,22.72990417,23.46233749,54.08716965,53.45872116,53.6802597,22.79999924,22.79999924,4.716068268,4.699991226,25.20000076,23.0,22.70000076,22.89999962,23.89999962,101916.875,7.536937714,-0.002034542,0.0,0.004069084,23.0,2026-05-17 15:36:42
22.033638,22.72085953,23.48042297,54.09621048,53.45872116,53.69382477,22.79999924,22.79999924,4.716068268,4.700343609,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102086.625,7.762998581,-0.004747265,0.0,0.000678181,23.0,2026-05-17 15:36:43
22.01555252,22.72537994,23.47138214,54.12786102,53.42707062,53.72547531,22.79999924,22.79999924,4.713355541,4.700343609,25.20000076,23.0,22.70000076,22.89999962,23.89999962,101916.875,7.310876846,-0.002034542,0.0,-0.000678181,23.0,2026-05-17 15:36:44
22.06076431,22.72990417,23.47138214,54.09621048,53.45420074,53.68478394,22.79999924,22.79999924,4.717424393,4.699638367,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102086.625,7.762998581,-0.002712723,0.0,0.0,23.0,2026-05-17 15:36:45
21.99746704,22.72990417,23.47590256,54.13237762,53.4903717,53.69382477,22.89999962,22.79999924,4.720137596,4.699991226,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102001.9531,7.310876846,-0.004069084,0.0,0.001356361,23.0,2026-05-17 15:36:46
22.02911377,22.70277786,23.48494339,54.1685524,53.45420074,53.69382477,22.79999924,22.79999924,4.714712143,4.700696468,25.20000076,23.0,22.70000076,22.89999962,23.89999962,101916.875,7.310876846,-0.002034542,0.0,0.001356361,23.0,2026-05-17 15:36:47
22.03815842,22.72537994,23.50754929,54.12786102,53.41802979,53.68478394,22.79999924,22.79999924,4.713355541,4.699991226,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102001.9531,7.989057541,-0.002034542,0.0,0.002034542,23.0,2026-05-17 15:36:48
22.02459335,22.72085953,23.47138214,54.13690186,53.48132706,53.66217422,22.89999962,22.79999924,4.720137596,4.700343609,25.20000076,23.0,22.70000076,22.89999962,23.89999962,101916.875,7.310876846,-0.003390903,0.0,0.002034542,23.0,2026-05-17 15:36:49
22.02459335,22.72990417,23.48946381,54.08716965,53.45872116,53.72547531,22.79999924,22.79999924,4.718781471,4.701048851,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102001.9531,7.310876846,-0.002034542,0.0,0.002034542,23.0,2026-05-17 15:36:50
22.033638,22.72990417,23.43521118,54.09621048,53.48132706,53.69382477,22.89999962,22.79999924,4.714712143,4.701401711,25.20000076,23.0,22.70000076,22.89999962,23.89999962,101916.875,7.310876846,-0.002712723,0.0,0.001356361,23.0,2026-05-17 15:36:51
22.02459335,22.72990417,23.43069077,54.12786102,53.44967651,53.68930054,22.79999924,22.79999924,4.716068268,4.700343609,25.20000076,23.0,22.70000076,22.89999962,23.89999962,101916.875,7.310876846,-0.002712723,0.0,0.002712723,23.0,2026-05-17 15:36:52
22.02459335,22.71633911,23.44877625,54.13237762,53.44967651,53.68478394,22.79999924,22.79999924,4.714712143,4.699638367,25.20000076,23.0,22.70000076,22.89999962,23.89999962,101916.875,7.084817886,-0.002034542,0.0,0.0,23.0,2026-05-17 15:36:53
